id,instrument,abbreviation,sort
1,Leader,ldr,10
2,Director,dir,1920
3,Conductor,con,1930
4,Arranger,arr,1910
7,Sax,sax,390
8,Soprano Sax,ss,430
9,Alto Sax,as,440
10,Tenor Sax,ts,470
11,C-Melody Sax,Cm,460
12,Bass Sax,bsx,490
13,Baritone Sax,bar,480
14,Alto Horn (Peck Horn),ah,730
15,Trumpet,t,560
16,Trombone,tb,660
17,Tenor Horn,th,740
21,French Horn,frh,630
22,Valve Trombone,vtb,670
24,Bass Trombone,btb,700
25,Cornet,c,570
26,FlÅgelhorn,fh,580
27,Clarinet,cl,300
28,Bassoon,bsn,130
29,Hot Fountain Pen,hfp,310
30,Oboe,ob,60
31,Bass Clarinet,bcl,350
32,Flute,f,30
33,Piccolo,pic,20
34,Guitar,g,830
35,Acoustic Guitar,acg,840
36,Electric Guitar,eg,850
37,Steel Guitar,stg,860
38,Bass,b,1270
39,Electric Bass,eb,1280
41,Strings,str,1700
42,Banjo,bj,900
43,Mandolin,man,910
44,Kazoo,kaz,290
45,Ukelele,uke,980
46,Piano,p,1090
47,Electric Piano,ep,1110
48,Celeste,cel,1120
49,Electric Organ,org,1140
50,Pipe Organ,p-o,1150
51,Keyboards,key,1190
52,Synthesizer,syn,1210
53,NED Synclavier,NED,1220
54,Ocarina,oc,1320
55,Xylophone,xyl,810
56,Accordion,acc,1170
57,Bandoneon,ban,1180
58,Vibraphone,vib,780
60,Euphonium,eu,720
61,Goofus/Cuesnophone,gfs,280
62,Harmonica,h,250
63,Harmonium,har,1160
64,Mellophone,mp,640
65,Harp,hrp,1760
66,Violoncello,vc,1730
67,Drums,d,1330
68,Snare Drum,sd,1340
69,Bass Drum,bd,1360
70,Timpani,tmp,1370
71,Bongos,bgo,1530
72,Congas,cga,1540
73,Percussion,per,1670
74,Timbales,tim,1500
75,Tambourine,tam,1410
76,Doubling,db,1900
77,Violin,vn,1710
78,Viola,vl,1720
79,Slide Whistle,s-w,1790
80,Whistling,w,1800
81,Washboard,wb,1810
82,unknown,unk,1830
83,Vocals,v,1840
84,Speaking,spk,1850
85,Backing Vocals,bkv,1860
86,Other,oth,1890
88,Woodwinds,ww,150
89,English Horn,enh,70
90,Tuba,tu,750
91,Alto Clarinet,acl,330
92,Contrabass Clarinet,cbc,370
93,Contralto Clarinet,cac,360
94,Alto Flute,af,40
95,Marimba,mar,800
96,Kalimba/Mbira (Thumb Piano),kal,1630
97,Contrabass,cb,1740
98,Clavinet,clv,1200
99,Piccolo Bass,pb,1260
100,Bass Flute,bf,50
101,Conch Shells,shl,770
102,Berimbau,ber,1590
103,Bells/Glockenspiel,bel,790
104,Harpsichord,hps,1130
105,Dance,dnc,1880
106,Sopranino Clarinet,scl,320
107,Tablas,tbl,1510
108,Cymbals,cym,1380
109,Didgeridoo,dg,760
110,Recorder,rec,200
111,Zither,zth,1060
112,Piccolo Trumpet,pt,590
113,Saxello,sxl,400
114,Kora,kor,940
115,Bass Recorder,brc,240
116,Cuatro,cua,930
117,Master of Ceremonies,mc,1940
118,Chimes (Tubular Bells),chi,1660
119,Steel Drums,std,820
120,12-string guitar,12g,870
121,Bassett Horn,bst,340
122,Bass Trumpet,bt,600
123,Tarogato,trg,380
124,Oud,oud,960
125,Doumbek,dmb,1560
126,Sitar,sit,1000
127,Sopranino Saxophone,sss,420
128,Trombonium,tbm,690
129,Melodica,mld,270
130,Handclaps,hnd,1690
131,Castanets,cst,1480
132,Mridangam,mri,1520
133,Bass Harmonica,bh,260
134,Mellophonium,mpm,650
135,Tamboura,tmb,1010
136,Contrabassoon,cbn,140
137,Alto Recorder,arc,220
138,Tenor Recorder,trc,230
139,Soprano Recorder,src,210
140,Contrabass Saxophone,cbs,500
141,Contrabass Sarrusophone,csr,530
142,Alto Trombone,atb,680
143,Slide Trumpet,s-t,610
144,Slide Saxophone,s-s,510
145,Triangle,tri,1400
146,Karkaba (Metal Castanets),kar,1490
147,Hag'houge/Gembri,hag,1080
148,Slide Guitar,s-g,880
149,Musical Saw,saw,1820
150,Programming Synth/Drum Machine,prg,1240
151,Gong,gng,1390
152,Tenor Drum,td,1350
153,Pan Flute,pan,180
154,Maracas,mcs,1440
155,Sarrusophone,sr,520
156,Shakuhachi Flute,shk,160
157,Bansuri Flute,bns,170
158,Guiro,gui,1430
159,Acoustic Bass Guitar,abg,1290
160,Electric Upright Bass,eub,1300
161,Chekere/Shaker,chk,1610
162,Bat† Drums,bat,1550
163,Doussn'gouni (Hunter's Guitar),dng,1600
164,Chapman Stick,stk,1310
165,Wood Flute,wf,190
166,Penny Whistle,pw,1780
167,Bird Whistle,bw,1770
168,Contrabass Trombone,ctb,710
169,Cajon,caj,1570
170,Theremin,thr,1230
171,Stritch,st,450
172,Manzello,mnz,410
173,Cowbell,cwb,1640
174,Prepared Piano,prp,1100
175,Claves,cvs,1470
176,Shawm,shm,90
177,Bouzouki,bzk,970
178,Koto,kot,1040
179,Mandola,mda,920
180,Musette,mus,110
181,Waterphone,wtr,1680
182,Argol,arg,80
183,Rabab,rab,1020
184,Shenai,shn,100
185,Cheng,chg,1050
186,Vitar,vit,890
187,Sleigh Bells,slb,1620
188,Electronic Valve Instrument,EVI,620
189,Electronic Wind Instrument,EWI,550
190,Sarod,sar,1030
191,Frame Drum,frd,1420
192,Saz,saz,950
193,Cabasa/Afuche,cab,1450
194,Woodblock,wbk,1460
195,Lute,lut,990
196,Turntable/Electronics,tt,1250
197,Viola da Gamba,gam,1750
198,Rap,rap,1870
199,Ghatam,gha,1580
200,Autoharp,ahp,1070
202,Crotales,cro,1650
203,Gaita (Colombian),gai,120
204,Bagpipes,bgp,540
