1,"ALABAMA","AL",2010-04-01 13:25:30,2010-04-02 13:25:30
2,"ALASKA","AK",2010-04-02 13:25:30,2010-04-03 13:25:30
3,"AMERICAN SAMOA","AS",2010-04-03 13:25:30,2010-04-04 13:25:30
4,"ARIZONA","AZ",2010-04-04 13:25:30,2010-04-05 13:25:30
5,"ARKANSAS","AR",2010-04-05 13:25:30,2010-04-06 13:25:30
6,"CALIFORNIA","CA",2010-04-06 13:25:30,2010-04-07 13:25:30
7,"COLORADO","CO",2010-04-07 13:25:30,2010-04-08 13:25:30
8,"CONNECTICUT","CT",2010-04-08 13:25:30,2010-04-09 13:25:30
9,"DELAWARE","DE",2010-04-09 13:25:30,2010-04-10 13:25:30
10,"DISTRICT OF COLUMBIA","DC",2010-04-10 13:25:30,2010-04-11 13:25:30
11,"FEDERATED STATES OF MICRONESIA","FM",2010-04-11 13:25:30,2010-04-12 13:25:30
12,"FLORIDA","FL",2010-04-12 13:25:30,2010-04-13 13:25:30
13,"GEORGIA","GA",2010-04-13 13:25:30,2010-04-14 13:25:30
14,"GUAM","GU",2010-04-14 13:25:30,2010-04-15 13:25:30
15,"HAWAII","HI",2010-04-15 13:25:30,2010-04-16 13:25:30
16,"IDAHO","ID",2010-04-16 13:25:30,2010-04-17 13:25:30
17,"ILLINOIS","IL",2010-04-17 13:25:30,2010-04-18 13:25:30
18,"INDIANA","IN",2010-04-18 13:25:30,2010-04-19 13:25:30
19,"IOWA","IA",2010-04-19 13:25:30,2010-04-20 13:25:30
20,"KANSAS","KS",2010-04-20 13:25:30,2010-04-21 13:25:30
21,"KENTUCKY","KY",2010-04-21 13:25:30,2010-04-22 13:25:30
22,"LOUISIANA","LA",2010-04-22 13:25:30,2010-04-23 13:25:30
23,"MAINE","ME",2010-04-23 13:25:30,2010-04-24 13:25:30
24,"MARSHALL ISLANDS","MH",2010-04-24 13:25:30,2010-04-25 13:25:30
25,"MARYLAND","MD",2010-04-25 13:25:30,2010-04-26 13:25:30
26,"MASSACHUSETTS","MA",2010-04-26 13:25:30,2010-04-27 13:25:30
27,"MICHIGAN","MI",2010-04-27 13:25:30,2010-04-28 13:25:30
28,"MINNESOTA","MN",2010-04-28 13:25:30,2010-04-29 13:25:30
29,"MISSISSIPPI","MS",2010-04-29 13:25:30,2010-04-30 13:25:30
30,"MISSOURI","MO",2010-04-30 13:25:30,2010-05-01 13:25:30
31,"MONTANA","MT",2010-05-01 13:25:30,2010-05-02 13:25:30
32,"NEBRASKA","NE",2010-05-02 13:25:30,2010-05-03 13:25:30
33,"NEVADA","NV",2010-05-03 13:25:30,2010-05-04 13:25:30
34,"NEW HAMPSHIRE","NH",2010-05-04 13:25:30,2010-05-05 13:25:30
35,"NEW JERSEY","NJ",2010-05-05 13:25:30,2010-05-06 13:25:30
36,"NEW MEXICO","NM",2010-05-06 13:25:30,2010-05-07 13:25:30
37,"NEW YORK","NY",2010-05-07 13:25:30,2010-05-08 13:25:30
38,"NORTH CAROLINA","NC",2010-05-08 13:25:30,2010-05-09 13:25:30
39,"NORTH DAKOTA","ND",2010-05-09 13:25:30,2010-05-10 13:25:30
40,"NORTHERN MARIANA ISLANDS","MP",2010-05-10 13:25:30,2010-05-11 13:25:30
41,"OHIO","OH",2010-05-11 13:25:30,2010-05-12 13:25:30
42,"OKLAHOMA","OK",2010-05-12 13:25:30,2010-05-13 13:25:30
43,"OREGON","OR",2010-05-13 13:25:30,2010-05-14 13:25:30
44,"PALAU","PW",2010-05-14 13:25:30,2010-05-15 13:25:30
45,"PENNSYLVANIA","PA",2010-05-15 13:25:30,2010-05-16 13:25:30
46,"PUERTO RICO","PR",2010-05-16 13:25:30,2010-05-17 13:25:30
47,"RHODE ISLAND","RI",2010-05-17 13:25:30,2010-05-18 13:25:30
48,"SOUTH CAROLINA","SC",2010-05-18 13:25:30,2010-05-19 13:25:30
49,"SOUTH DAKOTA","SD",2010-05-19 13:25:30,2010-05-20 13:25:30
50,"TENNESSEE","TN",2010-05-20 13:25:30,2010-05-21 13:25:30
51,"TEXAS","TX",2010-05-21 13:25:30,2010-05-22 13:25:30
52,"UTAH","UT",2010-05-22 13:25:30,2010-05-23 13:25:30
53,"VERMONT","VT",2010-05-23 13:25:30,2010-05-24 13:25:30
54,"VIRGIN ISLANDS","VI",2010-05-24 13:25:30,2010-05-25 13:25:30
55,"VIRGINIA","VA",2010-05-25 13:25:30,2010-05-26 13:25:30
56,"WASHINGTON","WA",2010-05-26 13:25:30,2010-05-27 13:25:30
57,"WEST VIRGINIA","WV",2010-05-27 13:25:30,2010-05-28 13:25:30
58,"WISCONSIN","WI",2010-05-28 13:25:30,2010-05-29 13:25:30
59,"WYOMING","WY",2010-05-29 13:25:30,2010-05-30 13:25:30
